adolescent	青少年的;未成熟的	⠁⠙⠕⠇⠑⠎⠉⠢⠞
auxiliary	輔助者;助動詞	⠁⠥⠭⠊⠇⠊⠜⠽
bachelor	單身漢	⠃⠁⠡⠑⠇⠕⠗
backbone	脊柱;支柱;骨幹	⠃⠁⠉⠅⠃⠐⠕
bandit	強盜;土匪	⠃⠯⠊⠞
banner	旗幟;橫幅;大標題	⠃⠁⠝⠝⠻
barbershop	理髮店	⠃⠜⠃⠻⠩⠕⠏
batch	一批;一群;一爐;一團	⠃⠁⠞⠡
bazaar	(中東的)市場;商店街;義賣	⠃⠁⠵⠁⠜
behalf	代表	⠆⠓⠁⠇⠋
belongings	財產;攜帶物品	⠆⠇⠰⠛⠬⠎
blacksmith	鐵匠	⠃⠇⠁⠉⠅⠎⠍⠊⠹
